1000	1000
21	392
40	606
83	598
72	357
11	215
9	447
86	814
60	815
76	44
67	437
78	66
59	899
6	347
65	419
9	896
61	741
46	69
51	115
30	973
56	339
75	172
15	18
16	854
4	653
16	943
60	568
99	576
15	766
49	31
16	446
51	639
93	542
23	933
81	910
66	581
35	23
88	618
85	269
5	287
48	574
6	648
80	894
97	841
51	590
1	197
23	332
27	429
50	387
96	412
59	207
55	765
47	13
70	997
11	521
24	177
84	597
28	904
23	992
49	49
54	343
40	292
48	986
100	885
86	986
24	296
64	612
83	401
94	593
62	228
27	527
18	314
89	649
71	306
76	328
23	275
17	787
15	296
49	918
88	234
96	502
76	410
52	163
30	944
5	867
90	172
85	751
93	87
26	297
28	645
28	121
72	139
62	101
54	104
93	969
7	515
1	852
35	190
71	153
59	796
17	777
42	248
34	57
95	62
61	538
15	550
87	851
23	82
97	934
96	433
87	847
28	308
45	573
73	365
48	91
60	922
18	451
100	807
88	911
71	649
85	899
5	779
7	960
48	222
27	349
20	741
46	558
88	901
33	244
64	677
12	405
86	94
94	762
47	944
4	694
55	31
47	106
35	83
59	579
85	685
49	167
21	325
7	990
14	483
78	364
25	449
16	120
17	565
21	955
69	308
51	445
66	383
11	484
63	171
88	356
14	768
15	835
84	745
13	550
86	11
37	83
98	972
43	779
17	695
73	17
43	467
13	433
46	604
36	784
22	647
76	326
35	77
22	463
96	328
93	0
37	934
63	972
30	323
19	653
66	734
91	161
96	387
56	641
14	596
86	66
93	621
11	238
61	791
16	502
88	953
90	266
12	800
56	656
54	218
5	375
89	843
55	555
59	132
61	473
2	38
52	901
79	336
38	977
1	762
25	245
54	975
63	806
60	460
44	250
12	47
90	235
59	362
54	542
95	893
57	665
75	118
18	620
20	238
31	971
64	572
68	686
59	208
32	635
62	859
14	275
70	957
10	583
27	233
59	212
84	644
94	708
47	240
6	354
79	990
46	922
34	479
41	745
87	639
30	352
65	24
12	495
13	639
100	182
84	18
47	761
70	844
72	802
68	98
26	867
45	318
2	660
43	387
34	842
73	929
83	248
29	426
26	208
90	686
2	401
14	625
87	822
39	62
58	881
77	119
89	628
45	167
77	416
59	344
64	449
53	604
62	862
24	456
57	172
76	159
89	615
26	827
31	985
33	898
55	910
59	927
69	882
3	954
99	85
51	763
27	715
91	414
8	543
79	188
67	934
43	573
37	166
86	825
85	988
50	835
89	884
62	105
57	828
58	509
24	764
87	784
16	145
87	284
10	858
6	946
33	538
69	392
28	332
3	359
13	562
63	629
99	187
96	767
17	358
91	843
70	596
95	405
86	984
38	48
89	410
51	673
78	805
87	285
76	16
4	569
25	660
16	248
86	794
69	163
1	163
32	623
65	897
71	858
61	575
55	646
21	103
74	887
74	810
61	595
82	231
19	814
31	708
52	381
85	739
19	504
52	482
17	103
88	174
99	386
3	985
80	940
5	52
56	194
40	506
61	668
91	263
93	9
44	939
37	361
7	939
82	333
70	477
16	388
64	905
93	123
75	530
10	629
27	866
40	649
21	1
95	291
94	994
72	785
75	397
56	571
38	432
6	323
56	428
12	832
95	512
52	987
91	535
40	94
19	756
24	883
4	638
97	110
92	19
26	281
24	25
79	247
22	893
57	418
11	685
44	237
44	999
99	149
5	479
85	222
13	716
31	500
85	748
51	694
77	380
8	897
35	129
78	530
67	330
49	725
21	685
40	937
66	198
55	633
60	691
45	872
77	240
70	750
52	963
32	843
72	308
98	388
86	386
37	183
93	588
51	562
87	573
58	668
2	348
3	230
56	17
80	698
45	629
4	881
3	54
28	617
80	365
100	515
11	672
22	991
12	753
36	419
52	713
51	64
51	327
94	10
57	148
66	23
11	71
66	647
42	119
35	443
30	768
35	592
86	915
46	232
18	632
1	311
97	329
65	750
89	421
50	934
5	651
30	184
65	69
74	307
88	223
21	737
24	167
30	188
48	47
74	607
54	175
49	480
46	508
29	653
19	660
9	616
21	486
76	606
15	516
94	506
69	948
10	329
61	188
22	769
78	863
69	756
62	998
16	579
99	63
54	719
2	3
78	650
76	97
88	726
34	407
70	264
30	396
83	328
15	741
85	877
61	19
99	170
6	863
27	883
32	995
94	869
77	496
7	103
77	62
20	975
28	185
21	428
81	410
3	796
39	780
51	765
11	247
61	345
46	381
10	600
91	488
42	302
55	542
39	637
89	911
46	302
78	294
64	138
99	693
99	534
36	639
72	495
7	821
65	3
71	625
96	870
68	706
51	337
46	732
99	890
87	980
78	201
25	378
36	933
66	733
16	37
87	546
78	18
18	629
17	357
42	301
88	579
33	971
42	878
2	687
77	668
73	15
82	964
35	590
48	23
5	578
30	646
31	933
65	420
9	932
86	576
54	129
6	814
36	6
86	545
48	172
9	748
31	394
14	565
11	388
48	231
57	338
80	840
24	138
10	216
70	493
78	644
38	83
56	610
58	94
42	951
41	907
87	243
7	236
94	957
23	310
55	861
10	442
38	489
80	209
62	495
64	897
91	106
99	565
82	682
8	604
7	839
13	859
61	822
96	368
94	988
96	813
21	946
76	576
68	927
28	576
23	76
15	783
98	684
97	391
59	600
22	312
93	551
48	60
99	491
92	955
18	293
17	891
72	38
77	76
10	543
64	941
22	877
51	546
75	626
29	492
5	142
44	572
97	533
21	86
35	518
41	28
64	252
38	484
62	779
50	988
17	787
71	168
17	849
31	571
61	35
90	124
43	998
25	337
49	648
84	525
90	785
40	288
61	75
74	91
35	552
70	643
8	439
98	888
86	38
67	987
77	606
97	651
63	645
68	739
59	693
4	837
43	131
100	955
42	76
42	608
27	320
38	973
50	214
40	29
